Date,Open,High,Low,Close,Adj Close,Volume
10/04/2017,64.260.300,64.739.998,64.254.997,64.453.697,64.453.697,0
17/04/2017,64.435.501,64.720.001,64.239.998,64.639.999,64.639.999,0
24/04/2017,64.640.297,64.642.998,63.928.001,64.258.301,64.258.301,0
01/05/2017,64.280.502,64.389.999,64.059.998,64.169.998,64.169.998,0
08/05/2017,64.307.999,64.690.002,64.120.003,64.165.497,64.165.497,0
15/05/2017,64.236.000,65.139.999,63.880.001,64.448.502,64.448.502,0
22/05/2017,64.448.799,64.947.998,64.410.004,64.513.199,64.513.199,0
29/05/2017,64.500.504,64.688.004,64.220.001,64.404.999,64.404.999,0
05/06/2017,64.405.502,64.500.000,64.167.999,64.376.999,64.376.999,0
12/06/2017,64.376.999,64.760.002,64.019.997,64.394.997,64.394.997,0
19/06/2017,64.454.498,64.680.000,64.339.996,64.498.001,64.498.001,0
26/06/2017,64.495.499,64.839.996,64.389.999,64.606.796,64.606.796,0
03/07/2017,64.610.497,64.900.002,64.500.000,64.611.702,64.611.702,0
10/07/2017,64.615.501,64.615.501,64.227.501,64.267.303,64.267.303,0
17/07/2017,64.416.000,64.461.098,64.254.997,64.461.098,64.461.098,0
24/07/2017,64.377.998,64.480.003,64.050.003,64.123.497,64.123.497,0
31/07/2017,64.105.499,64.212.997,63.563.000,63.665.100,63.665.100,0
07/08/2017,63.665.501,64.254.997,63.612.999,64.081.001,64.081.001,0
14/08/2017,64.130.501,64.349.998,63.849.998,64.075.897,64.075.897,0
21/08/2017,64.085.503,64.160.004,63.869.999,63.995.499,63.995.499,0
28/08/2017,63.998.001,64.110.001,63.770.000,64.015.503,64.015.503,0
04/09/2017,64.017.998,64.269.997,63.770.000,63.931.000,63.931.000,0
11/09/2017,63.778.000,64.290.001,63.775.002,64.120.201,64.120.201,0
18/09/2017,64.100.502,65.199.997,64.000.000,64.890.999,64.890.999,0
25/09/2017,64.788.002,65.889.999,64.730.003,65.293.297,65.293.297,0
02/10/2017,65.300.499,65.680.000,64.949.997,65.414.200,65.414.200,0
09/10/2017,65.390.503,65.449.997,64.650.002,64.672.997,64.672.997,0
16/10/2017,64.690.002,65.153.000,64.665.001,65.104.103,65.104.103,0
23/10/2017,65.032.997,65.239.998,64.599.998,65.032.997,65.032.997,0
30/10/2017,64.873.398,65.029.999,64.389.999,64.693.398,64.693.398,0
06/11/2017,64.693.398,65.370.003,64.559.998,65.182.999,65.182.999,0
13/11/2017,65.160.301,65.580.002,64.680.000,65.008.003,65.008.003,0
20/11/2017,64.904.999,65.147.003,64.537.498,64.544.998,64.544.998,0
27/11/2017,64.544.998,64.809.998,64.269.997,64.513.000,64.513.000,0
04/12/2017,64.509.003,64.629.997,64.220.001,64.473.000,64.473.000,0
11/12/2017,64.473.000,64.559.998,63.990.002,64.072.998,64.072.998,0
18/12/2017,64.072.304,64.690.002,63.919.998,64.007.797,64.007.797,0
25/12/2017,64.007.797,64.250.000,63.790.001,63.840.801,63.840.801,0
01/01/2018,63.840.801,63.869.999,63.209.999,63.333.000,63.333.000,0
08/01/2018,63.264.999,63.840.000,63.230.000,63.588.501,63.588.501,0
15/01/2018,63.588.501,64.129.997,63.330.002,63.823.002,63.823.002,0
22/01/2018,63.832.100,63.990.002,63.400.002,63.573.101,63.573.101,0
29/01/2018,63.570.000,64.235.001,63.490.002,64.132.500,64.132.500,0
05/02/2018,64.132.500,64.480.003,63.980.000,64.211.304,64.211.304,0
12/02/2018,64.211.304,64.430.000,63.813.000,64.379.997,64.379.997,0
19/02/2018,64.379.997,65.110.001,64.242.996,64.703.003,64.703.003,0
26/02/2018,64.889.999,65.599.998,64.629.997,65.186.699,65.186.699,0
05/03/2018,65.186.699,65.400.002,64.794.998,65.090.401,65.090.401,0
12/03/2018,64.964.897,65.290.001,64.669.998,65.014.397,65.014.397,0
19/03/2018,65.065.002,65.294.998,64.924.698,65.014.999,65.014.999,0
26/03/2018,64.980.499,65.400.002,64.680.000,65.069.801,65.069.801,0
02/04/2018,65.108.002,65.199.997,64.820.000,64.904.503,64.904.503,0
09/04/2018,64.920.502,65.449.997,64.805.000,65.195.602,65.195.602,0
16/04/2018,65.245.499,66.349.998,65.209.999,66.203.003,66.203.003,0
23/04/2018,66.200.500,67.120.003,66.139.999,66.610.001,66.610.001,0
30/04/2018,66.610.497,67.040.001,66.199.997,66.809.998,66.809.998,0
07/05/2018,66.813.004,67.599.998,66.750.000,67.382.202,67.382.202,0
14/05/2018,67.350.502,68.480.003,67.190.002,67.974.998,67.974.998,0
21/05/2018,67.983.002,68.540.001,67.660.004,67.721.703,67.721.703,0
28/05/2018,67.723.000,68.139.999,66.919.998,66.987.999,66.987.999,0
04/06/2018,66.987.999,67.879.997,66.790.001,67.523.003,67.523.003,0
11/06/2018,67.520.500,68.449.997,67.309.998,68.449.997,68.449.997,0
18/06/2018,68.053.001,68.680.000,67.690.002,67.830.002,67.830.002,0
25/06/2018,67.860.497,69.209.999,67.849.998,68.434.998,68.434.998,0
02/07/2018,68.450.500,69.205.002,68.370.003,68.754.997,68.754.997,0
09/07/2018,68.795.502,69.099.998,68.250.000,68.486.702,68.486.702,0
16/07/2018,68.492.996,69.220.001,68.250.000,68.733.002,68.733.002,0
23/07/2018,68.733.002,69.239.998,68.529.999,68.610.001,68.610.001,0
30/07/2018,68.595.497,69.029.999,68.209.999,68.510.002,68.510.002,0
06/08/2018,68.535.500,69.165.001,68.309.998,69.080.002,69.080.002,0
13/08/2018,68.883.003,70.889.999,68.879.997,69.779.999,69.779.999,0
20/08/2018,70.093.002,70.275.002,69.528.000,70.275.002,70.275.002,0
27/08/2018,69.962.997,71.190.002,69.709.999,70.995.003,70.995.003,0
03/09/2018,70.998.001,72.150.002,70.709.999,72.095.001,72.095.001,0
10/09/2018,71.782.997,72.989.998,71.500.000,72.027.496,72.027.496,0
17/09/2018,71.873.001,72.930.000,71.699.997,72.230.003,72.230.003,0
24/09/2018,72.233.002,73.250.000,72.230.003,72.510.002,72.510.002,0
01/10/2018,72.500.504,74.610.001,72.500.504,73.763.000,73.763.000,0
08/10/2018,73.763.000,74.900.002,73.510.002,74.160.004,74.160.004,0
15/10/2018,73.602.997,74.389.999,73.220.001,74.160.004,74.160.004,0
22/10/2018,73.367.996,73.919.998,72.589.996,73.125.000,73.125.000,0
29/10/2018,73.125.000,74.250.000,72.432.999,72.904.999,72.904.999,0
05/11/2018,72.904.999,73.330.002,72.099.998,72.470.001,72.470.001,0
12/11/2018,72.470.001,73.080.002,71.723.000,71.973.000,71.973.000,0
